City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Aksarka,RU,2021-05-29 22:03:33,66.5606,67.7975,38.62,76,9,8.1
143,Lagoa,PT,2021-05-29 22:03:33,39.05,-27.9833,63.19,80,50,7.11
144,Puerto Ayora,EC,2021-05-29 22:03:33,-0.7393,-90.3518,82.36,85,48,10.0
145,Palana,RU,2021-05-29 22:03:34,59.1167,159.9667,37.24,76,82,5.17
146,Shubarshi,KZ,2021-05-29 22:03:34,48.5872,57.1869,69.04,61,28,9.37
147,Majene,ID,2021-05-29 22:02:31,-3.5403,118.9707,76.98,87,65,5.23
148,Sankt Veit,DE,2021-05-29 22:03:34,49.1,10.95,52.29,90,18,4.99
149,Razdolnoye,RU,2021-05-29 22:03:35,43.55,131.9167,52.21,87,99,4.32
150,Faanui,PF,2021-05-29 22:03:35,-16.4833,-151.75,79.95,68,21,7.25
151,Papetoai,PF,2021-05-29 22:03:35,-17.4961,-149.8729,83.79,72,100,13.27
152,Dingle,PH,2021-05-29 21:59:41,10.9995,122.6711,78.58,89,96,2.17
153,Saint-Philippe,RE,2021-05-29 22:03:36,-21.3585,55.7679,69.35,81,16,5.14
154,Nishihara,JP,2021-05-29 22:03:36,26.1842,127.7558,69.08,94,75,17.98
155,Hinton,CA,2021-05-29 22:00:29,53.4001,-117.5857,63.1,29,76,9.04
156,Ayagoz,KZ,2021-05-29 21:59:33,47.9714,80.4392,47.07,60,0,9.75
157,Badou,TG,2021-05-29 22:03:37,7.5833,0.6,76.78,84,29,3.58
158,Iztapa,GT,2021-05-29 22:03:37,13.9333,-90.7075,86.23,61,53,5.79
159,Tera,NE,2021-05-29 22:03:37,14.0078,0.7531,95.14,14,2,6.71
160,Umm Lajj,SA,2021-05-29 22:03:38,25.0213,37.2685,84.33,64,100,17.34
161,Hvolsvollur,IS,2021-05-29 22:03:38,63.7533,-20.2243,43.81,76,100,24.02
162,Nuuk,GL,2021-05-29 22:03:38,64.1835,-51.7216,41.61,81,1,16.11
163,Xinqing,CN,2021-05-29 22:03:39,48.2333,129.5,52.52,88,84,2.04
164,Fortuna,US,2021-05-29 21:59:28,40.5982,-124.1573,88.48,84,75,14.97
165,Grindavik,IS,2021-05-29 22:03:39,63.8424,-22.4338,45.55,87,90,38.1
166,Sinnamary,GF,2021-05-29 22:03:40,5.3833,-52.95,78.4,87,80,10.16
167,Whitehorse,CA,2021-05-29 22:03:40,60.7161,-135.0538,56.01,43,100,18.99
168,Basoko,CD,2021-05-29 22:03:41,1.2391,23.616,73.45,89,100,2.19
169,Codrington,AU,2021-05-29 22:03:41,-38.2667,141.9667,39.65,95,7,7.0
170,Port Elizabeth,ZA,2021-05-29 22:03:16,-33.918,25.5701,55.09,85,75,6.44
171,Tabas,IR,2021-05-29 22:03:42,33.5959,56.9244,87.06,11,0,3.44
172,Kinshasa,CD,2021-05-29 22:03:12,-4.3246,15.3215,79.47,62,46,1.52
173,Bredasdorp,ZA,2021-05-29 22:03:42,-34.5322,20.0403,53.28,90,36,2.66
174,San Joaquin,US,2021-05-29 22:03:42,37.9333,-121.3011,90.1,34,1,14.97
175,Constitucion,CL,2021-05-29 22:03:43,-35.3333,-72.4167,54.03,75,98,10.27
176,Aksha,RU,2021-05-29 22:03:43,50.2814,113.2867,43.61,52,26,9.44
177,Pouembout,NC,2021-05-29 22:03:44,-21.1333,164.9,70.68,51,95,9.06
178,Fairbanks,US,2021-05-29 22:03:44,64.8378,-147.7164,53.49,42,74,1.99
179,Airai,TL,2021-05-29 22:03:44,-8.9266,125.4092,54.93,89,46,1.97
180,Comodoro Rivadavia,AR,2021-05-29 21:59:59,-45.8667,-67.5,48.06,46,0,6.91
181,Rafaela,AR,2021-05-29 22:00:16,-31.2503,-61.4867,55.06,47,0,6.46
182,Pokhara,NP,2021-05-29 22:03:01,28.2333,83.9833,71.62,69,68,3.22
183,Cape Town,ZA,2021-05-29 21:59:18,-33.9258,18.4232,57.11,91,20,1.57
184,Coahuayana,MX,2021-05-29 22:03:45,18.7333,-103.6833,91.58,35,45,7.76
185,Saint-Augustin,CA,2021-05-29 22:03:46,51.226,-58.6502,55.0,43,87,13.35
186,Naze,JP,2021-05-29 21:59:37,28.3667,129.4833,65.32,90,100,6.64
187,Grand Gaube,MU,2021-05-29 22:03:46,-20.0064,57.6608,74.37,90,23,1.99
188,Seoni,IN,2021-05-29 22:03:47,22.0833,79.5333,87.58,40,78,8.81
189,Manggar,ID,2021-05-29 22:03:47,-2.8833,108.2667,79.41,83,78,4.81
190,Maraa,BR,2021-05-29 22:03:47,-1.8333,-65.3667,76.93,92,84,2.55
191,Komsomolskiy,UZ,2021-05-29 22:03:41,40.4272,71.7189,75.92,33,64,2.3
192,Terralba,IT,2021-05-29 22:03:48,39.7192,8.6392,66.09,88,0,4.52
193,Castro,BR,2021-05-29 22:03:48,-24.7911,-50.0119,67.55,69,57,4.92
194,Husavik,IS,2021-05-29 22:03:49,66.0449,-17.3389,50.02,58,100,14.94
195,Santa Rosa,PH,2021-05-29 22:03:49,14.3122,121.1114,85.08,85,68,2.59
